Banner,UPC,Hawaii,Kansas,New York,Northern California,Texas,All
Safeway,11873171.0,,,,6.09,5.19,5.64
Safeway,15052612.0,,53.99,,,54.49,54.24
Safeway,16482322.0,,17.89,,,18.09,17.99
Safeway,16729338.0,,7.99,,9.39,8.09,8.49
Safeway,16829288.0,,3.59,,4.19,3.59,3.79
Safeway,16900911.0,,29.19,,34.19,29.49,30.96
Safeway,16999755.0,,5.29,,6.19,5.29,5.59
Safeway,17066659.0,,3.09,,3.59,3.09,3.26
Safeway,19696884.0,,,,,5.89,5.89
Safeway,19911643.0,,,,,30.69,30.69
Safeway,19982129.0,,27.39,,,27.69,27.54
Safeway,21872584.0,,7.99,,,,7.99
Safeway,22132676.0,,5.39,,,,5.39
Safeway,22976162.0,,49.59,,58.19,50.09,52.62
Safeway,23493525.0,,26.19,,,26.49,26.34
Safeway,24764365.0,,,,,18.29,18.29
Safeway,25023603.0,,14.99,,,15.19,15.09
Safeway,25313327.0,,17.29,,,17.49,17.39
Safeway,26132370.0,,,,23.49,20.19,21.84
Safeway,26791818.0,,10.69,,,10.79,10.74
Safeway,26959766.0,,54.39,,63.79,54.99,57.72
Safeway,27595398.0,,8.59,,,,8.59
Safeway,27866264.0,,56.39,,66.19,56.99,59.86
Safeway,35072231.0,,49.69,,,50.19,49.94
Safeway,38126522.0,,57.29,,,57.89,57.59
Safeway,38399923.0,,38.79,,45.49,39.19,41.16
Safeway,39408244.0,,,,,,
Safeway,39601228.0,,22.69,,,22.89,22.79
Safeway,40555797.0,,27.39,,32.19,27.69,29.09
Safeway,41066545.0,,56.09,,,56.69,56.39
Safeway,43366358.0,,46.59,,,47.09,46.84
Safeway,44053660.0,,3.19,,3.69,3.19,3.36
Safeway,44276570.0,,,,,38.49,38.49
Safeway,44385546.0,,12.09,,,12.19,12.14
Safeway,45509167.0,,27.79,,,28.09,27.94
Safeway,45824749.0,,28.59,,,,28.59
Safeway,45845527.0,,,,,1.69,1.69
Safeway,47158754.0,,24.49,,28.69,24.69,25.96
Safeway,47174618.0,,3.79,,,3.79,3.79
Safeway,48013704.0,,,,,50.49,50.49
Safeway,48258595.0,,18.39,,,18.49,18.44
Safeway,51294147.0,,,,,14.69,14.69
Safeway,52851370.0,,42.59,,,43.09,42.84
Safeway,53317855.0,,34.99,,,35.29,35.14
Safeway,54236183.0,,22.29,,,,22.29
Safeway,54548062.0,,41.29,,48.49,41.69,43.82
Safeway,55404606.0,,37.89,,,38.29,38.09
Safeway,55833407.0,,28.59,,33.49,28.89,30.32
Safeway,56176612.0,,30.89,,36.19,31.19,32.76
Safeway,57394222.0,,,,36.89,31.79,34.34
Safeway,57714338.0,,25.89,,,26.19,26.04
Safeway,58785197.0,,20.79,,,20.99,20.89
Safeway,59479815.0,,45.89,,,,45.89
Safeway,60042797.0,,13.09,,,13.19,13.14
Safeway,60168857.0,,1.99,,,1.99,1.99
Safeway,60193187.0,,,,,7.99,7.99
Safeway,60912855.0,,50.79,,,51.39,51.09
Safeway,61278034.0,,22.79,,26.69,22.99,24.16
Safeway,61566790.0,,33.09,,38.79,33.39,35.09
Safeway,62068892.0,,10.99,,,11.09,11.04
Safeway,62563085.0,,47.69,,,48.19,47.94
Safeway,63494206.0,,,,,22.19,22.19
Safeway,65837987.0,,55.89,,,,55.89
Safeway,66025021.0,,34.09,,,34.39,34.24
Safeway,68034486.0,,5.19,,6.09,5.29,5.52
Safeway,69037528.0,,3.19,,,3.19,3.19
Safeway,69584995.0,,11.69,,13.69,11.79,12.39
Safeway,70124770.0,,56.69,,,57.29,56.99
Safeway,70324549.0,,44.09,,51.69,44.49,46.76
Safeway,70848410.0,,2.69,,,2.69,2.69
Safeway,71726448.0,,8.19,,,8.29,8.24
Safeway,73544548.0,,34.69,,,,34.69
Safeway,73570156.0,,23.99,,,24.29,24.14
Safeway,74029795.0,,41.09,,48.29,41.59,43.66
Safeway,75242878.0,,3.79,,,3.89,3.84
Safeway,77045464.0,,,,,13.19,13.19
Safeway,77460052.0,,1.19,,,1.19,1.19
Safeway,79218866.0,,50.99,,59.79,,55.39
Safeway,81313305.0,,52.99,,,53.59,53.29
Safeway,81927167.0,,35.39,,,35.79,35.59
Safeway,83141336.0,,52.89,,,53.49,53.19
Safeway,86262532.0,,50.99,,59.79,51.49,54.09
Safeway,86858655.0,,2.59,,,,2.59
Safeway,87093736.0,,25.39,,,25.69,25.54
Safeway,88576101.0,,54.99,,,55.49,55.24
Safeway,90756884.0,,36.49,,,36.89,36.69
Safeway,93351329.0,,12.79,,,12.89,12.84
Safeway,93696286.0,,8.39,,,8.49,8.44
Safeway,94769945.0,,19.99,,,20.19,20.09
Safeway,94849573.0,,56.49,,,57.09,56.79
Safeway,95658838.0,,38.79,,45.59,39.19,41.19
Safeway,95862680.0,,,,13.59,11.69,12.64
Safeway,95866554.0,,33.79,,39.59,34.09,35.82
Safeway,98164748.0,,11.59,,13.59,11.79,12.32
Safeway,98441419.0,,27.29,,,27.59,27.44
Safeway,99583114.0,,24.49,,,24.69,24.59
Safeway,99830442.0,,57.29,,67.29,57.89,60.82
Safeway,101201265.0,,47.99,,56.29,48.49,50.92
Safeway,105664025.0,,22.49,,,,22.49
Safeway,106365705.0,,20.39,,,20.59,20.49
Safeway,106599165.0,,36.99,,,37.29,37.14
Safeway,106918220.0,,23.49,,,23.69,23.59
Safeway,107865183.0,,32.29,,,32.69,32.49
Safeway,109076038.0,,,,,35.69,35.69
Safeway,110354720.0,,15.59,,,15.79,15.69
Safeway,110497121.0,,22.09,,25.89,,23.99
Safeway,111650456.0,,56.19,,,,56.19
Safeway,112509592.0,,40.69,,,41.09,40.89
Safeway,112817865.0,,55.89,,,,55.89
Safeway,113224794.0,,38.09,,,38.39,38.24
Safeway,113921219.0,,19.19,,,19.29,19.24
Safeway,115104280.0,,19.39,,22.69,19.59,20.56
Safeway,115681900.0,,29.99,,,30.39,30.19
Safeway,118708197.0,,21.09,,,21.39,21.24
Safeway,119616993.0,,32.09,,37.69,32.49,34.09
Safeway,120290503.0,,10.19,,11.89,,11.04
Safeway,120596009.0,,,,,,
Safeway,121620235.0,,57.29,,,57.79,57.54
Safeway,122484761.0,,34.19,,,34.49,34.34
Safeway,124052151.0,,19.89,,,20.09,19.99
Safeway,124091247.0,,,,,53.19,53.19
Safeway,125829867.0,,14.39,,,14.59,14.49
Safeway,126967843.0,,24.29,,28.39,24.49,25.72
Safeway,127821311.0,,20.09,,23.49,20.29,21.29
Safeway,127838957.0,,40.09,,46.99,,43.54
Safeway,127887048.0,,8.79,,,,8.79
Safeway,129232150.0,,21.29,,,21.49,21.39
Safeway,129833275.0,,27.09,,31.79,27.39,28.76
Safeway,130186387.0,,20.19,,,20.39,20.29
Safeway,130318597.0,,,,,,
Safeway,130358296.0,,32.29,,37.89,32.69,34.29
Safeway,131820869.0,,52.69,,,53.29,52.99
Safeway,132112942.0,,57.69,,,58.29,57.99
Safeway,132458395.0,,30.99,,,,30.99
Safeway,136528713.0,,,,16.39,14.09,15.24
Safeway,142231691.0,,13.29,,,13.39,13.34
Safeway,142252924.0,,29.79,,34.99,30.09,31.62
Safeway,144575642.0,,17.49,,,17.69,17.59
Safeway,144644625.0,,55.99,,65.69,56.59,59.42
Safeway,145210517.0,,49.09,,57.59,,53.34
Safeway,146021511.0,,45.59,,,45.99,45.79
Safeway,151145905.0,,26.99,,,27.19,27.09
Safeway,151287985.0,,20.19,,23.69,,21.94
Safeway,152181269.0,,40.49,,,40.89,40.69
Safeway,152398257.0,,5.79,,,5.89,5.84
Safeway,152458350.0,,17.89,,,17.99,17.94
Safeway,154602616.0,,27.29,,32.09,27.59,28.99
Safeway,157129774.0,,7.09,,8.29,7.09,7.49
Safeway,157966725.0,,17.59,,,17.79,17.69
Safeway,158953776.0,,59.29,,69.59,59.99,62.96
Safeway,160430177.0,,59.09,,,,59.09
Safeway,161076622.0,,,,,58.99,58.99
Safeway,161725486.0,,36.69,,,37.09,36.89
Safeway,162045248.0,,56.99,,,57.59,57.29
Safeway,162356142.0,,47.59,,,48.09,47.84
Safeway,163383455.0,,,,,5.79,5.79
Safeway,163809044.0,,36.29,,,36.69,36.49
Safeway,164485660.0,,37.29,,,37.69,37.49
Safeway,165254790.0,,32.59,,,32.89,32.74
Safeway,165324638.0,,59.09,,,59.69,59.39
Safeway,165526080.0,,3.59,,,3.59,3.59
Safeway,165559469.0,,30.59,,,30.89,30.74
Safeway,169472387.0,,48.59,,,48.99,48.79
Safeway,171059624.0,,34.49,,,,34.49
Safeway,171858013.0,,29.19,,,29.49,29.34
Safeway,172380215.0,,38.59,,,38.99,38.79
Safeway,173173585.0,,43.99,,,44.49,44.24
Safeway,174429227.0,,,,,,
Safeway,176351627.0,,53.79,,,54.39,54.09
Safeway,177925497.0,,47.09,,,47.49,47.29
Safeway,178923336.0,,14.29,,,14.39,14.34
Safeway,182310151.0,,33.29,,,33.59,33.44
Safeway,186497742.0,,25.59,,30.09,,27.84
Safeway,187405236.0,,41.29,,48.39,41.69,43.79
Safeway,189054973.0,,34.89,,40.89,35.29,37.02
Safeway,189565540.0,,43.39,,,43.79,43.59
Safeway,193724353.0,,42.49,,,42.89,42.69
Safeway,193736714.0,,56.59,,,57.19,56.89
Safeway,196109651.0,,37.49,,43.99,,40.74
Safeway,196407931.0,,,,,,
Safeway,197321036.0,,,,,29.49,29.49
Safeway,198082596.0,,,,,0.59,0.59
Safeway,200021055.0,,2.29,,,,2.29
Safeway,200253393.0,,50.49,,,50.99,50.74
Safeway,200282631.0,,26.99,,,,26.99
Safeway,200809424.0,,44.69,,,45.19,44.94
Safeway,201346142.0,,45.79,,,46.19,45.99
Safeway,204071291.0,,28.79,,,29.09,28.94
Safeway,205698731.0,,3.69,,,3.69,3.69
Safeway,205812283.0,,,,47.69,41.09,44.39
Safeway,207648093.0,,8.09,,9.39,,8.74
Safeway,212886542.0,,,,42.29,36.49,39.39
Safeway,213048650.0,,18.99,,22.29,19.19,20.16
Safeway,213387822.0,,35.29,,,35.69,35.49
Safeway,214212433.0,,53.89,,,54.49,54.19
Safeway,215480572.0,,16.29,,19.09,16.49,17.29
Safeway,217512347.0,,,,,,
Safeway,218294289.0,,55.59,,,56.09,55.84
Safeway,218958254.0,,11.89,,13.99,12.09,12.66
Safeway,220433295.0,,20.59,,24.09,20.79,21.82
Safeway,220677427.0,,59.49,,,60.09,59.79
Safeway,221349675.0,,37.49,,,37.89,37.69
Safeway,222180587.0,,8.99,,,9.09,9.04
Safeway,222633181.0,,38.19,,,38.59,38.39
Safeway,223905761.0,,,,,46.99,46.99
Safeway,224558960.0,,50.79,,59.59,51.29,53.89
Safeway,226008184.0,,8.69,,,8.79,8.74
Safeway,226080317.0,,1.99,,,2.09,2.04
Safeway,227635624.0,,6.79,,7.99,6.89,7.22
Safeway,227818213.0,,55.89,,,56.49,56.19
Safeway,228431403.0,,30.19,,,30.49,30.34
Safeway,228591095.0,,,,36.09,,36.09
Safeway,229341656.0,,39.19,,,39.59,39.39
Safeway,230451071.0,,23.99,,,24.19,24.09
Safeway,234033889.0,,17.49,,,17.69,17.59
Safeway,234070455.0,,7.49,,,7.59,7.54
Safeway,236468029.0,,4.89,,,4.89,4.89
Safeway,236677062.0,,56.59,,,57.19,56.89
Safeway,236968723.0,,21.09,,24.69,21.29,22.36
Safeway,237280009.0,,38.19,,,38.59,38.39
Safeway,238245641.0,,5.49,,,5.59,5.54
Safeway,238441424.0,,,,,33.79,33.79
Safeway,238497653.0,,37.99,,,38.39,38.19
Safeway,240879755.0,,33.19,,38.99,,36.09
Safeway,240924482.0,,32.79,,38.49,33.09,34.79
Safeway,242277190.0,,52.49,,,53.09,52.79
Safeway,242743338.0,,44.49,,,44.89,44.69
Safeway,243131192.0,,2.39,,,,2.39
Safeway,243785066.0,,38.59,,,,38.59
Safeway,243934119.0,,13.59,,15.89,13.69,14.39
Safeway,244294577.0,,33.29,,,33.69,33.49
Safeway,244899396.0,,34.99,,,35.39,35.19
Safeway,245619737.0,,23.09,,27.09,,25.09
Safeway,246582548.0,,47.69,,,,47.69
Safeway,246585815.0,,,,,14.89,14.89
Safeway,248544810.0,,32.99,,,,32.99
Safeway,250622702.0,,38.49,,,38.89,38.69
Safeway,251180255.0,,,,,13.89,13.89
Safeway,252280717.0,,15.89,,18.59,,17.24
Safeway,252888653.0,,,,,13.49,13.49
Safeway,253141402.0,,,,,35.89,35.89
Safeway,254804864.0,,57.89,,,58.49,58.19
Safeway,256001467.0,,25.39,,29.79,25.69,26.96
Safeway,256779462.0,,27.49,,,27.79,27.64
Safeway,256906423.0,,,,,10.09,10.09
Safeway,258597638.0,,41.49,,,,41.49
Safeway,259287413.0,,,,,11.29,11.29
Safeway,262051609.0,,23.99,,28.19,,26.09
Safeway,265077864.0,,9.29,,,,9.29
Safeway,265291556.0,,,,,25.79,25.79
Safeway,266112120.0,,4.59,,,4.69,4.64
Safeway,266425823.0,,35.09,,,35.49,35.29
Safeway,266788198.0,,,,,57.89,57.89
Safeway,268588472.0,,23.59,,,23.79,23.69
Safeway,269161785.0,,48.89,,40.29,49.39,46.19
Safeway,269567447.0,,58.59,,68.79,59.19,62.19
Safeway,270412866.0,,51.99,,,52.49,52.24
Safeway,271202170.0,,31.69,,,32.09,31.89
Safeway,272466316.0,,53.19,,,53.79,53.49
Safeway,273984951.0,,50.79,,59.59,51.29,53.89
Safeway,275219414.0,,45.99,,53.89,,49.94
Safeway,276263379.0,,42.19,,,42.59,42.39
Safeway,276801250.0,,59.29,,,59.89,59.59
Safeway,277014097.0,,27.69,,32.49,27.99,29.39
Safeway,277132090.0,,6.49,,7.59,6.49,6.86
Safeway,277394644.0,,,,,,
Safeway,278001228.0,,13.59,,,13.69,13.64
Safeway,278003538.0,,,,,27.49,27.49
Safeway,278354885.0,,17.19,,20.09,,18.64
Safeway,278739906.0,,0.99,,,0.99,0.99
Safeway,283434497.0,,27.79,,,28.09,27.94
Safeway,284293391.0,,54.29,,,54.79,54.54
Safeway,285189163.0,,19.29,,22.69,,20.99
Safeway,285195716.0,,41.29,,,,41.29
Safeway,285638116.0,,,,,,
Safeway,286798599.0,,35.99,,42.29,36.39,38.22
Safeway,286906735.0,,10.99,,16.89,11.09,12.99
Safeway,287415946.0,,48.59,,,49.09,48.84
Safeway,291765113.0,,35.69,,,36.09,35.89
Safeway,292740862.0,,39.09,,,,39.09
Safeway,295208432.0,,56.39,,,56.99,56.69
Safeway,296821950.0,,6.69,,,6.69,6.69
Safeway,296847415.0,,,,9.39,8.09,8.74
Safeway,298558534.0,,44.69,,,,44.69
Safeway,298650567.0,,,,,,
Safeway,299791600.0,,,,37.59,,37.59
Safeway,299905463.0,,51.59,,,,51.59
Safeway,300702726.0,,52.39,,,52.89,52.64
Safeway,300705072.0,,50.39,,59.09,50.89,53.46
Safeway,300970093.0,,30.09,,35.29,30.39,31.92
Safeway,301161010.0,,35.99,,42.19,36.39,38.19
Safeway,302256456.0,,2.49,,,2.49,2.49
Safeway,302857528.0,,,,,59.29,59.29
Safeway,303530277.0,,47.49,,,47.99,47.74
Safeway,303748850.0,,38.19,,44.79,38.59,40.52
Safeway,303796970.0,,,,18.99,16.29,17.64
Safeway,304468559.0,,52.19,,61.19,52.69,55.36
Safeway,305207870.0,,53.49,,,54.09,53.79
Safeway,305310988.0,,54.09,,,54.69,54.39
Safeway,306137567.0,,25.69,,30.19,25.99,27.29
Safeway,306887951.0,,15.29,,17.89,15.39,16.19
Safeway,308185637.0,,18.79,,22.09,,20.44
Safeway,310069491.0,,4.29,,,4.39,4.34
Safeway,310210791.0,,38.89,,,39.29,39.09
Safeway,311149036.0,,49.49,,,49.99,49.74
Safeway,311226396.0,,41.49,,,41.89,41.69
Safeway,311513952.0,,41.39,,48.59,41.89,43.96
Safeway,311625369.0,,6.39,,,6.49,6.44
Safeway,311693284.0,,,,,25.09,25.09
Safeway,312567137.0,,19.29,,,,19.29
Safeway,312588009.0,,40.19,,47.09,40.59,42.62
